id,name
1,공인노무사
2,일반경비지도사
3,기계경비지도사
4,가맹거래사
5,관광통역안내사(불어)
6,관광통역안내사(독어)
7,관광통역안내사(스페인어)
8,관광통역안내사(러시아어)
9,관광통역안내사(일본어)
10,관광통역안내사(중국어)
11,공인중개사
12,관광통역안내사(이탈리아어)
13,관광통역안내사(태국어)
14,관광통역안내사(베트남어)
15,관광통역안내사(말레이/인도네시아어)
16,관광통역안내사(아랍어)
17,관세사
18,세무사
19,방사성동위원소취급자특수면허
20,방사성동위원소취급자일반면허
21,방사선취급감독자면허
22,소방안전교육사
23,소방시설관리사
24,박물관및미술관준학예사
25,한국어교육능력검정시험
26,관광통역안내사(영어)
27,호텔경영사
28,호텔관리사
29,국내여행안내사
30,호텔서비스사
31,문화재수리기술자(보수)
32,문화재수리기술자(단청)
33,문화재수리기술자(실측설계)
34,문화재수리기술자(조경)
35,문화재수리기술자(보존과학)
36,문화재수리기술자(식물보호)
37,문화재수리기능자(대목수)
38,문화재수리기능자(소목수)
39,문화재수리기능자(가공석공)
40,문화재수리기능자(쌓기석공)
41,문화재수리기능자(화공)
42,문화재수리기능자(드잡이공)
43,문화재수리기능자(번와와공)
44,문화재수리기능자(제작와공)
45,문화재수리기능자(한식미장공)
46,문화재수리기능자(철물공)
47,문화재수리기능자(목조각공)
48,문화재수리기능자(석조각공)
49,문화재수리기능자(칠공)
50,문화재수리기능자(도금공)
51,문화재수리기능자(표구공)
52,문화재수리기능자(조경공)
53,문화재수리기능자(세척공)
54,문화재수리기능자(훈증공)
55,문화재수리기능자(보존처리공)
56,문화재수리기능자(식물보호공)
57,문화재수리기능자(실측설계사보)
58,문화재수리기능자(박제및표본제작공)
59,문화재수리기능자(온돌공)
60,농산물품질관리사
61,경매사(청과)
62,경매사(수산)
63,경매사(축산)
64,경매사(화훼)
65,경매사(약용)
66,경영지도사(인적자원관리)
67,경영지도사(재무관리)
68,경영지도사(생산관리)
69,경영지도사(마케팅)
70,경영지도사(1차공통)
71,문화재수리기능자(모사공)
72,산업안전지도사(기계안전)
73,산업안전지도사(전기안전)
74,산업안전지도사(화공안전)
75,산업안전지도사(건설안전)
76,산업보건지도사(직업환경의학)
77,산업보건지도사(산업위생공학)
78,일반행정사
79,외국어번역행정사
80,기술행정사
81,경매사(양곡)
82,기술지도사(1차공통)
83,기술지도사(기계)
84,기술지도사(금속)
85,기술지도사(전기전자)
86,기술지도사(섬유)
87,기술지도사(화공)
88,기술지도사(생산관리)
89,기술지도사(정보처리)
90,변리사
91,사회복지사 1급
92,정수시설운영관리사1급
93,정수시설운영관리사2급
94,정수시설운영관리사3급
95,주택관리사보
96,감정평가사
97,물류관리사
98,검수사
99,검량사
100,감정사
101,1급 청소년지도사
102,2급 청소년지도사
103,3급 청소년지도사
104,1급 청소년상담사
105,2급 청소년상담사
106,3급 청소년상담사
107,기술지도사(환경)
108,기술지도사(생명공학)
109,수산물품질관리사
110,손해평가사
111,고용노동부 보건직(7급)
112,용접기술사
113,금형기술사
114,차량기술사
115,산업기계설비기술사
116,공조냉동기계기술사
117,건설기계기술사
118,금속제련기술사
119,금속재료기술사
120,표면처리기술사
121,금속가공기술사
122,화공기술사
123,발송배전기술사
124,전기응용기술사
125,철도신호기술사
126,산업계측제어기술사
127,전자응용기술사
128,조선기술사
129,항공기체기술사
130,항공기관기술사
131,토질및기초기술사
132,토목구조기술사
133,항만및해안기술사
134,도로및공항기술사
135,철도기술사
136,철도차량기술사
137,전기철도기술사
138,수자원개발기술사
139,상하수도기술사
140,농어업토목기술사
141,토목시공기술사
142,토목품질시험기술사
143,건축구조기술사
144,건축기계설비기술사
145,건축전기설비기술사
146,건축시공기술사
147,건축품질시험기술사
148,섬유기술사
149,의류기술사
150,자원관리기술사
151,광해방지기술사
152,화약류관리기술사
153,정보관리기술사
154,컴퓨터시스템응용기술사
155,도시계획기술사
156,조경기술사
157,측량및지형공간정보기술사
158,지적기술사
159,해양기술사
160,수산양식기술사
161,어로기술사
162,기계안전기술사
163,화공안전기술사
164,전기안전기술사
165,건설안전기술사
166,소방기술사
167,산업위생관리기술사
168,가스기술사
169,공장관리기술사
170,품질관리기술사
171,포장기술사
172,세라믹기술사
173,식품기술사
174,산림기술사
175,비파괴검사기술사
176,수산제조기술사
177,지질및지반기술사
178,종자기술사
179,시설원예기술사
180,축산기술사
181,기계기술사
182,인간공학기술사
183,기상예보기술사
184,대기관리기술사
185,수질관리기술사
186,자연환경관리기술사
187,소음진동기술사
188,토양환경기술사
189,농화학기술사
190,교통기술사
191,제품디자인기술사
192,폐기물처리기술사
193,일반기계기사
194,용접기사
195,농업기계기사
196,사출금형설계기사
197,프레스금형설계기사
198,그린전동자동차기사
199,온실가스관리기사
200,환경위해관리기사
201,철도차량기사
202,건설기계설비기사
203,콘크리트기사
204,건설기계정비기사
205,궤도장비정비기사
206,메카트로닉스기사
207,자동차정비기사
208,기계설계기사
209,금속재료기사
210,화공기사
211,신재생에너지발전설비기사(태양광)
212,임베디드기사
213,화약류제조기사
214,화약류관리기사
215,전기기사
216,전기공사기사
217,전자기사
218,반도체설계기사
219,의공기사
220,로봇기구개발기사
221,로봇소프트웨어개발기사
222,로봇하드웨어개발기사
223,전파전자통신기사
224,조선기사
225,항공기사
226,토목기사
227,실내건축기사
228,섬유기사
229,의류기사
230,정보처리기사
231,전자계산기기사
232,전자계산기조직응용기사
233,정보보안기사
234,에너지관리기사
235,도시계획기사
236,항로표지기사
237,조경기사
238,측량및지형공간정보기사
239,지적기사
240,인쇄기사
241,해양환경기사
242,해양자원개발기사
243,해양공학기사
244,산업안전기사
245,건설안전기사
246,화재감식평가기사
247,농작업안전보건기사
248,방재기사
249,광산보안기사
250,가스기사
251,산업위생관리기사
252,품질경영기사
253,포장기사
254,제품디자인기사
255,광학기사
256,식품기사
257,수산제조기사
258,식육가공기사
259,응용지질기사
260,승강기기사
261,종자기사
262,식물보호기사
263,화학분석기사
264,산림기사
265,임업종묘기사
266,광해방지기사
267,화훼장식기사
268,축산기사
269,임산가공기사
270,유기농업기사
271,기상기사
272,기상감정기사
273,방사선비파괴검사기사
274,초음파비파괴검사기사
275,자기비파괴검사기사
276,침투비파괴검사기사
277,와전류비파괴검사기사
278,누설비파괴검사기사
279,수산양식기사
280,건축기사
281,건축설비기사
282,어업생산관리기사
283,버섯산업기사
284,대기환경기사
285,수질환경기사
286,소음진동기사
287,공조냉동기계기사
288,철도신호기사
289,전기철도기사
290,건설재료시험기사
291,교통기사
292,철도토목기사
293,시설원예기사
294,시각디자인기사
295,바이오화학제품제조기사
296,설비보전기사
297,인간공학기사
298,소방설비기사(기계분야)
299,소방설비기사(전기분야)
300,자연생태복원기사
301,토양환경기사
302,폐기물처리기사
303,컬러리스트기사
304,생물분류기사(식물)
305,생물분류기사(동물)
306,기계조립산업기사
307,판금제관산업기사
308,컴퓨터응용가공산업기사
309,용접산업기사
310,농업기계산업기사
311,사출금형산업기사
312,프레스금형산업기사
313,철도차량산업기사
314,기계설계산업기사
315,생산자동화산업기사
316,기계정비산업기사
317,전기철도산업기사
318,온실가스관리산업기사
319,건설기계설비산업기사
320,배관산업기사
321,철도운송산업기사
322,영사산업기사
323,콘크리트산업기사
324,건설기계정비산업기사
325,궤도장비정비산업기사
326,자동차정비산업기사
327,패션머천다이징산업기사
328,치공구설계산업기사
329,금속재료산업기사
330,정밀측정산업기사
331,주조산업기사
332,표면처리산업기사
333,재료조직평가산업기사
334,광학기기산업기사
335,신재생에너지발전설비산업기사(태양광)
336,화약류제조산업기사
337,위험물산업기사
338,화약류관리산업기사
339,광산보안산업기사
340,전기산업기사
341,가구제작산업기사
342,전기공사산업기사
343,철도신호산업기사
344,전자산업기사
345,반도체설계산업기사
346,의공산업기사
347,3D프린터개발산업기사
348,사무자동화산업기사
349,전파전자통신산업기사
350,조선산업기사
351,항공산업기사
352,토목산업기사
353,건축일반시공산업기사
354,건축목공산업기사
355,섬유디자인산업기사
356,한복산업기사
357,섬유산업기사
358,실내건축산업기사
359,정보처리산업기사
360,패션디자인산업기사
361,신발산업기사
362,조경산업기사
363,전자계산기제어산업기사
364,정보보안산업기사
365,측량및지형공간정보산업기사
366,지적산업기사
367,해양조사산업기사
368,항로표지산업기사
369,산업안전산업기사
370,건설안전산업기사
371,인쇄산업기사
372,승강기산업기사
373,품질경영산업기사
374,포장산업기사
375,제품디자인산업기사
376,시각디자인산업기사
377,화재감식평가산업기사
378,식품산업기사
379,종자산업기사
380,가스산업기사
381,산업위생관리산업기사
382,산림산업기사
383,축산산업기사
384,임산가공산업기사
385,수산양식산업기사
386,잠수산업기사
387,건축산업기사
388,건축설비산업기사
389,피아노조율산업기사
390,식물보호산업기사
391,바이오화학제품제조산업기사
392,대기환경산업기사
393,수질환경산업기사
394,소음진동산업기사
395,농림토양평가관리산업기사
396,공조냉동기계산업기사
397,유기농업산업기사
398,건설재료시험산업기사
399,철도토목산업기사
400,방사선비파괴검사산업기사
401,초음파비파괴검사산업기사
402,자기비파괴검사산업기사
403,침투비파괴검사산업기사
404,화훼장식산업기사
405,방수산업기사
406,어로산업기사
407,교통산업기사
408,귀금속가공산업기사
409,전자부품장착산업기사
410,보석디자인산업기사
411,소방설비산업기사(기계분야)
412,소방설비산업기사(전기분야)
413,자연생태복원산업기사
414,폐기물처리산업기사
415,에너지관리산업기사
416,한식조리산업기사
417,양식조리산업기사
418,일식조리산업기사
419,중식조리산업기사
420,복어조리산업기사
421,보석감정산업기사
422,컬러리스트산업기사
423,기계가공기능장
424,금형제작기능장
425,배관기능장
426,판금제관기능장
427,용접기능장
428,자동차정비기능장
429,건설기계정비기능장
430,철도차량정비기능장
431,에너지관리기능장
432,주조기능장
433,표면처리기능장
434,금속재료기능장
435,제선기능장
436,제강기능장
437,압연기능장
438,위험물기능장
439,가스기능장
440,전기기능장
441,전자기기기능장
442,건축목재시공기능장
443,건축일반시공기능장
444,귀금속가공기능장
445,잠수기능장
446,조리기능장
447,제과기능장
448,미용장
449,이용장
450,컴퓨터응용선반기능사
451,컴퓨터응용밀링기능사
452,반도체장비유지보수기능사
453,연삭기능사
454,기계가공조립기능사
455,궤도장비정비기능사
456,금형기능사
457,정밀측정기능사
458,전산응용기계제도기능사
459,판금제관기능사
460,의료전자기능사
461,배관기능사
462,특수용접기능사
463,용접기능사
464,공유압기능사
465,자동차정비기능사
466,자동차차체수리기능사
467,항공기체정비기능사
468,항공기관정비기능사
469,항공장비정비기능사
470,항공전자정비기능사
471,건설기계정비기능사
472,농기계정비기능사
473,농기계운전기능사
474,공조냉동기계기능사
475,가스기능사
476,항로표지기능사
477,철도차량정비기능사
478,축로기능사
479,생산자동화기능사
480,열처리기능사
481,주조기능사
482,표면처리기능사
483,금속재료시험기능사
484,제선기능사
485,제강기능사
486,원형기능사
487,압연기능사
488,화학분석기능사
489,유기농업기능사
490,위험물기능사
491,철도전기신호기능사
492,전자캐드기능사
493,전자기기기능사
494,전자출판기능사
495,석공예기능사
496,제품응용모델링기능사
497,전자계산기기능사
498,전자부품장착기능사
499,자동차보수도장기능사
500,설비보전기능사
501,정보기기운용기능사
502,전파전자통신기능사
503,전산응용조선제도기능사
504,선체건조기능사
505,정보처리기능사
506,동력기계정비기능사
507,측량기능사
508,석공기능사
509,철도토목기능사
510,콘크리트기능사
511,방수기능사
512,전산응용건축제도기능사
513,조적기능사
514,전산응용토목제도기능사
515,철근기능사
516,금속재창호기능사
517,플라스틱창호기능사
518,미장기능사
519,신재생에너지발전설비기능사(태양광)
520,비계기능사
521,기계정비기능사
522,건축목공기능사
523,건설재료시험기능사
524,가구제작기능사
525,건축도장기능사
526,유리시공기능사
527,실내건축기능사
528,온수온돌기능사
529,거푸집기능사
530,도배기능사
531,타일기능사
532,염색기능사(침염)
533,염색기능사(날염)
534,시추기능사
535,광산보안기능사
536,금속도장기능사
537,귀금속가공기능사
538,방사선비파괴검사기능사
539,초음파비파괴검사기능사
540,자기비파괴검사기능사
541,침투비파괴검사기능사
542,목공예기능사
543,축산기능사
544,식육처리기능사
545,천공기운전기능사
546,인쇄기능사
547,식품가공기능사
548,잠수기능사
549,종자기능사
550,화훼장식기능사
551,임업종묘기능사
552,버섯종균기능사
553,산림기능사
554,임산가공기능사
555,지적기능사
556,도화기능사
557,항공사진기능사
558,광학기능사
559,지도제작기능사
560,수산양식기능사
561,한복기능사
562,에너지관리기능사
563,전기기능사
564,3D프린터운용기능사
565,사진기능사
566,컴퓨터그래픽스운용기능사
567,웹디자인기능사
568,타워크레인운전기능사
569,컨테이너크레인운전기능사
570,기중기운전기능사
571,굴삭기운전기능사
572,불도저운전기능사
573,천장크레인운전기능사
574,로더운전기능사
575,롤러운전기능사
576,지게차운전기능사
577,광고도장기능사
578,보석가공기능사
579,도자공예기능사
580,제과기능사
581,제빵기능사
582,조경기능사
583,원예기능사
584,신발류제조기능사
585,이용사
586,한식조리기능사
587,양식조리기능사
588,일식조리기능사
589,중식조리기능사
590,복어조리기능사
591,조주기능사
592,피아노조율기능사
593,환경기능사
594,영사기능사
595,양화장치운전기능사
596,양복기능사
597,양장기능사
598,미용사(일반)
599,승강기기능사
600,미용사(피부)
601,미용사(네일)
602,세탁기능사
603,미용사(메이크업)
604,화약취급기능사
605,보석감정사
606,떡제조기능사
607,국제의료관광코디네이터
608,직업상담사1급
609,직업상담사2급
610,사회조사분석사1급
611,사회조사분석사2급
612,전자상거래관리사1급
613,컨벤션기획사1급
614,컨벤션기획사2급
615,소비자전문상담사1급
616,소비자전문상담사2급
617,임상심리사1급
618,임상심리사2급
619,텔레마케팅관리사
620,멀티미디어콘텐츠제작전문가
621,스포츠경영관리사
622,컴퓨터활용능력1급
623,컴퓨터활용능력2급
624,전산회계운용사1급
625,전산회계운용사2급
626,전산회계운용사3급
627,비서1급
628,비서2급
629,비서3급
630,전자상거래운용사
631,워드프로세서
632,한글속기1급
633,한글속기2급
634,한글속기3급
635,기록물관리 전문요원
636,기업재난관리사
637,1급 산림치유지도사
638,2급 산림치유지도사
639,나무의사
640,목구조관리기술자
641,목구조시공기술자
642,산림교육전문가
643,수목치료기술자
644,간호사
645,간호조무사
646,물리치료사
647,방사선사
648,보건교육사
649,보건의료정보관리사
650,보육교사
651,보조공학사
652,안경사
653,안마사
654,약사
655,언어재활사
656,영양사
657,요양보호사
658,위생사
659,응급구조사
660,의사
661,의지보조기기사
662,임상병리사
663,작업치료사
664,장례지도사
665,장애인재활상담사
666,정신건강간호사
667,정신건강사회복지사
668,정신보건임상심리사
669,조산사
670,치과기공사
671,치과위생사
672,치과의사
673,한약사
674,한약조제사
675,한의사
676,사회환경교육지도사2급
677,사회환경교육지도사3급
678,환경영향평가사
679,환경측정분석사
680,직업능력개발훈련교사
681,고속구조정 조종사
682,구명정 조종사
683,기관사
684,도선사
685,소형선박조종사
686,수면비행선박조종사
687,수산질병관리사
688,운항사
689,통신사
690,항해사
691,자동차운전기능검정원
692,자동차운전면허
693,자동차운전전문강사
694,1급 생활스포츠지도사
695,1급 장애인스포츠지도사
696,1급 전문스포츠지도사
697,2급 생활스포츠지도사
698,2급 장애인스포츠지도사
699,2급 전문스포츠지도사
700,건강운동관리사
701,경주심판
702,노인스포츠지도사
703,무대예술전문인
704,문화예술교육사
705,사서
706,유소년스포츠지도사
707,무선통신사
708,아마추어무선기사
709,보세사
710,원자로조종감독자면허
711,원자로조종사면허
712,핵연료물질취급면허 [감독자]
713,핵연료물질취급면허 [취급자]
714,가축인공수정사
715,농산물검사원
716,말조련사
717,수의사
718,장제사
719,재활승마지도사
720,유통관리사
721,건축물에너지평가사
722,건축사
723,건축사(예비)
724,교통안전관리자
725,버스운전자
726,사업용 조종사
727,운송용 조종사
728,자가용 조종사
729,철도차량운전면허
730,초경량비행장치 조종자
731,택시운전자격
732,항공교통관제사
733,항공기관사
734,항공사
735,항공운항관리사
736,항공정비사
737,화물운송종사자
738,보건교사
739,사서교사
740,실기교사
741,영양교사
742,전문상담교사
743,정교사
744,준교사
745,평생교육사
746,1급 소방안전관리자
747,2급 소방안전관리자
748,3급 소방안전관리자
749,특급 소방안전관리자
750,주류제조관리사
751,동력수상레저기구조종면허
752,변호사
753,법무사
754,공인회계사
755,보험계리사
756,보험중개사
757,손해사정사
